t_id,probability
19778,0.499531
21465,0.518918
25493,0.471702
8272,0.490718
24140,0.527157
633,0.526093
30355,0.522505
13873,0.515733
2835,0.507058
11453,0.529231
9035,0.482499
19391,0.494173
16637,0.499453
1644,0.522117
2404,0.545197
13152,0.497894
18352,0.472294
3503,0.526028
16219,0.465422
5372,0.463239
9849,0.520498
9688,0.484437
10470,0.541521
25916,0.519372
21486,0.518266
8827,0.521191
29318,0.544506
24955,0.508969
15945,0.528777
13362,0.539757
17559,0.50849
22055,0.477992
27144,0.501985
6312,0.467214
9684,0.522615
16769,0.518905
19850,0.547751
7779,0.497533
9906,0.468133
30553,0.511257
29716,0.51634
23374,0.486218
5150,0.487978
16089,0.486096
29349,0.546019
20046,0.517034
3795,0.52039
9378,0.483487
7030,0.469173
19027,0.516392
30371,0.465178
23582,0.539123
830,0.497229
31362,0.511244
28815,0.517684
2661,0.49937
24581,0.484462
30986,0.489852
10684,0.507229
25635,0.514111
10469,0.502461
22246,0.536888
7112,0.466336
2759,0.534383
29498,0.498148
5212,0.470879
8130,0.491405
10850,0.515945
25922,0.46368
4607,0.515082
4270,0.53964
2402,0.489789
27879,0.508794
28549,0.502647
18434,0.485623
12787,0.481808
23137,0.510916
85,0.52579
2130,0.544445
24702,0.53388
24505,0.536381
22785,0.482832
11885,0.541448
24785,0.503831
9321,0.500986
16499,0.521179
23628,0.519331
282,0.520674
19210,0.485515
13650,0.47663
19738,0.490686
25262,0.4674
17176,0.502764
2571,0.500391
31215,0.524505
26821,0.523673
20109,0.471349
8962,0.473591
17157,0.480035
22695,0.485595
26799,0.510683
30010,0.516608
16360,0.510588
16021,0.497013
16413,0.510615
18949,0.54397
21361,0.536152
20110,0.488551
7966,0.52928
6877,0.463696
19291,0.463886
31016,0.521394
22405,0.499798
18383,0.464066
190,0.527827
148,0.467677
11573,0.523203
14691,0.538919
7169,0.477065
16804,0.502731
19714,0.492698
14254,0.501118
23408,0.493529
16451,0.50327
9644,0.479911
5289,0.486159
17049,0.511913
24749,0.483753
3228,0.519304
14616,0.496304
31698,0.514591
3754,0.536256
11290,0.491385
16119,0.529532
24834,0.484804
29632,0.513648
31726,0.497706
31399,0.548879
8109,0.528085
31485,0.488923
21485,0.500919
4247,0.525761
14182,0.492039
11063,0.50036
12823,0.494498
2780,0.538163
8545,0.509644
29448,0.503247
9735,0.498348
6170,0.522012
6204,0.521029
21736,0.470452
18371,0.473059
27451,0.472031
18261,0.504076
16690,0.481035
19209,0.515937
334,0.505697
13155,0.490927
17380,0.522755
2804,0.498304
24034,0.501345
29244,0.465461
12948,0.504984
24516,0.528962
1099,0.491667
22841,0.520974
22790,0.48473
29634,0.515123
30831,0.511469
18185,0.495782
16306,0.500366
24640,0.471676
19293,0.474842
1530,0.471072
13081,0.477231
10616,0.51885
1622,0.551375
30668,0.525217
2502,0.534141
5229,0.499402
1253,0.473457
16414,0.501199
28735,0.487877
5942,0.52206
24999,0.50439
20013,0.486235
1269,0.476595
18124,0.48373
22677,0.523889
19574,0.526074
29903,0.51971
8508,0.473207
27086,0.520734
20667,0.509582
18422,0.463207
12895,0.526764
25871,0.512506
4810,0.495785
15992,0.478742
5431,0.52256
5948,0.530075
21636,0.506282
30325,0.521467
23662,0.46721
19906,0.519582
15924,0.519288
18165,0.52544
4201,0.492506
25474,0.505492
6106,0.474872
15608,0.521805
18915,0.505739
20193,0.473982
6307,0.477127
7597,0.488706
11789,0.495742
29362,0.504693
21286,0.512245
26333,0.4676
22957,0.501392
11985,0.482369
28604,0.487634
52,0.526347
3025,0.502678
4038,0.530398
16128,0.465463
6231,0.477253
10207,0.543996
14340,0.523294
13572,0.481733
8640,0.523884
187,0.507832
18488,0.488301
13658,0.483128
20835,0.50133
1877,0.508895
438,0.460449
11657,0.494426
3116,0.500399
14365,0.499667
11435,0.491817
1874,0.521616
13459,0.54063
26209,0.530188
30278,0.550134
2094,0.526947
6746,0.523555
13761,0.470355
29514,0.494274
26544,0.476455
9074,0.513294
23536,0.470152
15103,0.516886
28214,0.520423
3550,0.523284
12655,0.486856
16530,0.500263
18492,0.527372
14871,0.490723
4742,0.51389
4148,0.51327
9011,0.510176
19310,0.496027
26675,0.521377
19747,0.529131
17617,0.507622
4924,0.489624
17968,0.459634
27885,0.468765
31334,0.479313
9596,0.49153
10282,0.508572
20604,0.513137
25709,0.472379
2419,0.528714
14981,0.499204
29665,0.47335
3205,0.529119
19664,0.479259
19542,0.505421
19398,0.514158
25756,0.499875
27844,0.46614
29026,0.51138
20004,0.501909
25741,0.474265
12352,0.525606
9462,0.545026
16315,0.464399
20593,0.466057
15625,0.529363
29942,0.503656
9789,0.527944
28150,0.494323
4932,0.503059
27255,0.522517
23178,0.505858
24449,0.497628
10198,0.470649
7718,0.527361
11410,0.49013
22025,0.488074
2705,0.462664
20451,0.539458
22421,0.47751
28179,0.534348
9065,0.52613
13415,0.520113
25656,0.541804
18528,0.468019
17211,0.496217
16467,0.51257
19028,0.504575
31481,0.521795
18930,0.48686
15152,0.487165
25140,0.547905
23306,0.501207
24677,0.524673
14933,0.513493
28042,0.528801
6729,0.524874
27560,0.486384
11022,0.478873
27564,0.505261
18486,0.491673
13966,0.505557
10453,0.518856
8362,0.495926
28217,0.5315
16422,0.532371
28756,0.505659
30136,0.502437
30229,0.535455
4962,0.474723
7593,0.508221
18459,0.51368
19705,0.542956
24593,0.493614
16083,0.522842
8202,0.49575
14772,0.498583
24681,0.479433
19282,0.514467
16131,0.491254
8772,0.459399
26742,0.507886
4601,0.513052
23501,0.523639
10847,0.51158
13846,0.493683
29536,0.527407
25068,0.523338
28670,0.46916
22038,0.526149
23913,0.511534
13963,0.535252
20893,0.485603
10458,0.515281
16737,0.498213
7629,0.460611
2154,0.526825
16528,0.469091
7823,0.469411
10650,0.496469
28613,0.494709
28265,0.507938
21720,0.543567
28472,0.48772
30998,0.474994
679,0.479879
1668,0.501892
6247,0.469119
244,0.466729
31542,0.481935
23358,0.500147
3467,0.482067
21737,0.500885
25592,0.552104
19271,0.534549
16767,0.502153
13515,0.507014
1758,0.535399
26631,0.516577
15285,0.474073
11031,0.476838
528,0.496011
22209,0.504888
20002,0.483239
24782,0.544972
2376,0.519326
30538,0.525913
12732,0.513865
24585,0.477548
15611,0.529894
15057,0.517941
14914,0.483828
27653,0.492219
9901,0.536669
18103,0.51581
9667,0.523366
19679,0.505569
1754,0.479304
21423,0.488335
29630,0.529267
29969,0.501679
4077,0.479231
18015,0.530701
31617,0.471904
18473,0.496694
27837,0.476084
13699,0.502815
31133,0.513571
3843,0.520005
28709,0.509921
18039,0.536132
19974,0.492761
14696,0.541583
23521,0.473864
14953,0.473638
7572,0.491869
12351,0.469358
14210,0.491491
31044,0.513377
20571,0.475717
14925,0.527562
24464,0.517661
8195,0.516216
27652,0.492909
21420,0.518325
17901,0.523264
5998,0.50129
31450,0.542666
5966,0.494944
9862,0.467157
15325,0.483609
27362,0.525304
23329,0.533984
25430,0.477253
6520,0.509009
13954,0.528298
18041,0.519871
14938,0.499045
3546,0.503546
23133,0.473279
5527,0.489227
8183,0.469463
21560,0.496949
31017,0.477103
25163,0.478753
26232,0.537098
20733,0.512187
20382,0.548355
4050,0.506709
21726,0.540317
9896,0.469116
16192,0.475545
15653,0.507654
2741,0.515085
8355,0.511949
20945,0.513911
27851,0.496706
27034,0.508614
27559,0.543315
27736,0.492466
11815,0.511369
486,0.526737
4344,0.526303
13558,0.486822
24306,0.510505
6445,0.532397
2014,0.527254
3573,0.485829
10760,0.482363
19075,0.484248
27107,0.518773
28484,0.520248
10701,0.52848
29165,0.503897
28387,0.46802
19840,0.526274
4793,0.500637
24153,0.460942
16417,0.510191
12852,0.536661
5300,0.49293
24046,0.498587
20254,0.548422
7541,0.46437
28593,0.501559
19631,0.488037
4997,0.505902
31421,0.484025
6550,0.490915
13576,0.497846
12581,0.495208
399,0.501473
28597,0.5035
8276,0.51554
10962,0.508376
8527,0.479717
19864,0.519584
21007,0.527402
20811,0.514523
11342,0.537771
1312,0.514197
715,0.485699
20364,0.530485
17862,0.523807
24906,0.521411
11630,0.521688
21986,0.505055
3526,0.483472
22203,0.534646
18494,0.493022
16391,0.510062
12737,0.463109
11584,0.469724
18092,0.519559
811,0.541047
10234,0.512552
7545,0.482661
14573,0.51557
17279,0.505247
13207,0.534003
10061,0.520561
8562,0.497959
28945,0.526191
1931,0.479846
26339,0.529677
22602,0.528639
16125,0.491962
10866,0.53229
28076,0.499083
17811,0.525923
26143,0.518927
17869,0.480801
3841,0.506688
13259,0.498695
21781,0.509311
1778,0.502508
20825,0.518578
4618,0.490068
16272,0.522623
15875,0.546963
12157,0.479411
20116,0.521029
5526,0.525436
12916,0.492327
31331,0.514037
31764,0.489812
21761,0.523512
26370,0.473649
14885,0.482048
26682,0.536652
359,0.508426
207,0.493827
7109,0.536218
13214,0.54326
4910,0.548876
