t_id,probability
19778,0.51001
21465,0.538463
25493,0.490461
8272,0.487776
24140,0.523536
633,0.497044
30355,0.539312
13873,0.527857
2835,0.509015
11453,0.530091
9035,0.467998
19391,0.511444
16637,0.489119
1644,0.505282
2404,0.533861
13152,0.525451
18352,0.472025
3503,0.491845
16219,0.457247
5372,0.436242
9849,0.51608
9688,0.498049
10470,0.54153
25916,0.518635
21486,0.508047
8827,0.517111
29318,0.540105
24955,0.509978
15945,0.524318
13362,0.536284
17559,0.509352
22055,0.502521
27144,0.512926
6312,0.470894
9684,0.539326
16769,0.507513
19850,0.536333
7779,0.509507
9906,0.446762
30553,0.53831
29716,0.50487
23374,0.509922
5150,0.475091
16089,0.51026
29349,0.525661
20046,0.52803
3795,0.508701
9378,0.463484
7030,0.46283
19027,0.509907
30371,0.491529
23582,0.536882
830,0.486097
31362,0.50234
28815,0.539574
2661,0.482997
24581,0.47488
30986,0.518865
10684,0.506465
25635,0.507361
10469,0.487332
22246,0.54053
7112,0.463232
2759,0.528704
29498,0.494106
5212,0.488874
8130,0.504123
10850,0.511395
25922,0.473638
4607,0.517944
4270,0.522835
2402,0.48448
27879,0.489818
28549,0.495468
18434,0.505787
12787,0.511431
23137,0.495161
85,0.515574
2130,0.541404
24702,0.522971
24505,0.507482
22785,0.5224
11885,0.513228
24785,0.489896
9321,0.486905
16499,0.517145
23628,0.49266
282,0.526782
19210,0.500034
13650,0.47669
19738,0.491823
25262,0.503051
17176,0.47522
2571,0.486839
31215,0.520234
26821,0.493699
20109,0.49664
8962,0.463458
17157,0.486696
22695,0.490014
26799,0.502808
30010,0.491272
16360,0.503432
16021,0.48976
16413,0.500505
18949,0.526564
21361,0.518398
20110,0.467394
7966,0.527901
6877,0.451266
19291,0.466319
31016,0.50833
22405,0.488641
18383,0.435891
190,0.509821
148,0.461536
11573,0.525208
14691,0.522075
7169,0.471381
16804,0.493893
19714,0.500298
14254,0.494328
23408,0.491986
16451,0.498598
9644,0.468943
5289,0.501858
17049,0.532463
24749,0.475161
3228,0.528147
14616,0.514686
31698,0.501915
3754,0.528264
11290,0.469718
16119,0.515848
24834,0.492427
29632,0.504513
31726,0.515888
31399,0.546669
8109,0.533962
31485,0.491438
