t_id,probability
19778,0.500695
21465,0.519838
25493,0.465122
8272,0.492894
24140,0.533806
633,0.523481
30355,0.530074
13873,0.518225
2835,0.508082
11453,0.532507
9035,0.479346
19391,0.492458
16637,0.493207
1644,0.520345
2404,0.547626
13152,0.500413
18352,0.466606
3503,0.528779
16219,0.459401
5372,0.45493
9849,0.521857
9688,0.484891
10470,0.544726
25916,0.526628
21486,0.516043
8827,0.519489
29318,0.55071
24955,0.509355
15945,0.532896
13362,0.541764
17559,0.506657
22055,0.475036
27144,0.50517
6312,0.461524
9684,0.528319
16769,0.526028
19850,0.551686
7779,0.496972
9906,0.459926
30553,0.510971
29716,0.515379
23374,0.484697
5150,0.479779
16089,0.480703
29349,0.549733
20046,0.520789
3795,0.525206
9378,0.475833
7030,0.46279
19027,0.51382
30371,0.457728
23582,0.541367
830,0.500314
31362,0.509975
28815,0.525921
2661,0.49949
24581,0.482481
30986,0.492317
10684,0.512498
25635,0.511826
10469,0.501246
22246,0.542222
7112,0.459174
2759,0.537378
29498,0.50216
5212,0.466301
8130,0.494883
10850,0.523313
25922,0.457171
4607,0.51175
4270,0.541851
2402,0.48912
27879,0.509439
28549,0.505875
18434,0.486891
12787,0.481754
23137,0.507751
85,0.530826
2130,0.550518
24702,0.536009
24505,0.541033
22785,0.477861
11885,0.543354
24785,0.501721
9321,0.501181
16499,0.527877
23628,0.516341
282,0.516751
19210,0.48408
13650,0.471983
19738,0.487504
25262,0.462784
17176,0.500829
2571,0.50435
31215,0.528313
26821,0.52589
20109,0.468013
8962,0.464965
17157,0.477443
22695,0.483369
26799,0.515035
30010,0.523432
16360,0.506566
16021,0.490322
16413,0.513301
18949,0.546674
21361,0.537553
20110,0.48906
7966,0.536533
6877,0.456735
19291,0.455349
31016,0.517854
22405,0.494097
18383,0.455938
190,0.530468
148,0.462265
11573,0.529812
14691,0.542125
7169,0.47768
16804,0.495759
19714,0.495045
14254,0.500279
23408,0.495579
16451,0.505407
9644,0.474538
5289,0.48524
17049,0.513235
24749,0.479258
3228,0.52863
14616,0.491036
31698,0.513862
3754,0.542828
11290,0.490353
16119,0.532316
24834,0.484936
29632,0.52015
31726,0.496282
31399,0.554765
8109,0.530834
31485,0.48546
21485,0.496768
4247,0.529728
14182,0.491232
11063,0.493676
12823,0.49211
2780,0.546914
8545,0.516605
29448,0.497319
9735,0.500567
6170,0.523123
6204,0.526075
21736,0.464696
18371,0.467904
27451,0.466104
18261,0.499207
16690,0.479941
19209,0.512967
334,0.499621
13155,0.492909
17380,0.526562
2804,0.497361
24034,0.49923
29244,0.459622
12948,0.506816
24516,0.529197
1099,0.490351
22841,0.525031
22790,0.47854
29634,0.519257
30831,0.510098
18185,0.491281
16306,0.497832
24640,0.467584
19293,0.470664
1530,0.467322
13081,0.472335
10616,0.518552
1622,0.557306
30668,0.523577
2502,0.532809
5229,0.501751
1253,0.470039
16414,0.505559
28735,0.485779
5942,0.523981
24999,0.51098
20013,0.485725
1269,0.475099
18124,0.485164
22677,0.524893
19574,0.52756
29903,0.519756
8508,0.467508
27086,0.521732
20667,0.512266
18422,0.456632
