t_id,probability
19778,0.500779
21465,0.520042
25493,0.466
8272,0.492245
24140,0.533303
633,0.524024
30355,0.529369
13873,0.518292
2835,0.507907
11453,0.53205
9035,0.479739
19391,0.492469
16637,0.493986
1644,0.520612
2404,0.547693
13152,0.500235
18352,0.467269
3503,0.528566
16219,0.46014
5372,0.45604
9849,0.521695
9688,0.484761
10470,0.544631
25916,0.525705
21486,0.516265
8827,0.519806
29318,0.55002
24955,0.509067
15945,0.532317
13362,0.54179
17559,0.506644
22055,0.475269
27144,0.504654
6312,0.462316
9684,0.52776
16769,0.525083
19850,0.551471
7779,0.497247
9906,0.460913
30553,0.511145
29716,0.515275
23374,0.484875
5150,0.480534
16089,0.481396
29349,0.549525
20046,0.520294
3795,0.524255
9378,0.476565
7030,0.463437
19027,0.514108
30371,0.458706
23582,0.541453
830,0.499802
31362,0.51051
28815,0.524851
2661,0.499788
24581,0.482249
30986,0.491863
10684,0.512094
25635,0.512096
10469,0.500997
22246,0.54167
7112,0.460128
2759,0.537241
29498,0.50172
5212,0.4669
8130,0.494548
10850,0.522293
25922,0.458027
4607,0.512107
4270,0.541902
2402,0.48871
27879,0.50886
28549,0.505462
18434,0.48666
12787,0.481497
23137,0.508071
85,0.530271
2130,0.54981
24702,0.535926
24505,0.540453
22785,0.478515
11885,0.543469
24785,0.502058
9321,0.501126
16499,0.526763
23628,0.516787
282,0.517676
19210,0.484342
13650,0.472468
19738,0.487538
25262,0.463272
17176,0.501032
2571,0.504016
31215,0.527982
26821,0.525563
20109,0.468379
8962,0.465959
17157,0.47774
22695,0.48353
26799,0.514247
30010,0.522444
16360,0.506899
16021,0.491037
16413,0.513267
18949,0.546677
21361,0.537754
20110,0.48872
7966,0.535509
6877,0.457624
19291,0.456601
31016,0.518524
22405,0.494568
18383,0.456993
190,0.53021
148,0.462929
11573,0.529148
14691,0.541904
7169,0.476997
16804,0.496511
19714,0.494434
14254,0.500209
23408,0.495401
16451,0.505142
9644,0.475202
5289,0.485486
17049,0.513193
24749,0.479922
3228,0.527307
14616,0.491749
31698,0.514128
3754,0.541925
11290,0.490622
16119,0.532036
24834,0.484601
29632,0.519174
31726,0.496271
31399,0.554145
8109,0.53059
31485,0.486046
21485,0.496972
4247,0.529016
14182,0.491509
11063,0.494276
12823,0.492152
2780,0.545768
8545,0.51579
29448,0.497944
9735,0.50038
6170,0.523121
6204,0.525481
21736,0.465376
18371,0.468242
27451,0.466888
18261,0.499521
16690,0.479766
19209,0.513462
334,0.500338
13155,0.492113
17380,0.526228
2804,0.497613
24034,0.49927
29244,0.460301
12948,0.506401
24516,0.529376
1099,0.490782
22841,0.524826
22790,0.479231
29634,0.51905
30831,0.510501
18185,0.491788
16306,0.498218
24640,0.468091
19293,0.471215
1530,0.467792
13081,0.472888
10616,0.51849
1622,0.556704
30668,0.524354
2502,0.533315
5229,0.501194
1253,0.470378
16414,0.505085
28735,0.485976
5942,0.523607
24999,0.509956
20013,0.485335
1269,0.475036
18124,0.484697
22677,0.525148
19574,0.527503
29903,0.519915
8508,0.468039
27086,0.521839
20667,0.512076
18422,0.457406
12895,0.532507
25871,0.51299
4810,0.500139
15992,0.476821
5431,0.522217
5948,0.53088
21636,0.510348
30325,0.520349
23662,0.462422
19906,0.517785
15924,0.516207
18165,0.523176
4201,0.488942
25474,0.505046
6106,0.468697
15608,0.521505
18915,0.506108
20193,0.467892
6307,0.470909
7597,0.486371
11789,0.490708
29362,0.506379
21286,0.507847
26333,0.461468
22957,0.496315
11985,0.481079
28604,0.482994
52,0.525692
3025,0.498117
4038,0.535092
16128,0.459319
6231,0.472299
10207,0.546295
14340,0.528163
13572,0.479793
8640,0.525902
187,0.507222
18488,0.483608
13658,0.479134
20835,0.500245
1877,0.515823
438,0.453387
11657,0.493036
3116,0.495247
14365,0.498411
11435,0.491765
1874,0.52796
13459,0.543068
26209,0.530974
30278,0.554455
2094,0.530878
6746,0.52869
13761,0.466647
29514,0.494948
26544,0.472156
9074,0.51467
23536,0.463992
15103,0.512905
28214,0.517996
3550,0.527646
12655,0.479076
16530,0.500514
18492,0.526797
14871,0.491397
4742,0.517248
4148,0.514139
9011,0.505223
19310,0.490808
26675,0.519123
19747,0.528874
17617,0.502214
4924,0.49119
17968,0.452831
27885,0.463962
31334,0.475734
9596,0.490928
10282,0.511262
20604,0.516322
25709,0.468286
2419,0.532264
14981,0.494902
29665,0.467488
3205,0.53347
19664,0.476918
19542,0.50043
19398,0.518107
25756,0.504196
27844,0.459751
29026,0.506582
20004,0.503964
25741,0.47474
12352,0.524979
9462,0.549212
16315,0.457505
20593,0.460044
15625,0.532384
29942,0.50248
9789,0.533247
28150,0.496309
4932,0.506262
27255,0.523436
23178,0.504628
24449,0.499316
10198,0.467247
7718,0.528275
11410,0.493518
22025,0.488453
2705,0.456474
20451,0.545005
22421,0.474455
28179,0.53546
9065,0.526706
13415,0.516623
25656,0.545016
18528,0.463674
17211,0.493747
16467,0.512436
19028,0.508528
31481,0.523207
18930,0.482707
15152,0.48806
25140,0.552226
23306,0.499528
24677,0.530783
14933,0.508466
28042,0.529287
6729,0.529855
27560,0.48665
11022,0.477927
27564,0.500975
18486,0.493714
13966,0.505459
10453,0.517483
8362,0.494384
28217,0.531971
16422,0.537116
28756,0.506445
30136,0.506242
30229,0.537573
4962,0.470115
7593,0.509719
18459,0.509844
19705,0.545157
24593,0.490568
16083,0.523699
8202,0.494983
14772,0.495788
24681,0.474667
19282,0.51864
16131,0.493121
8772,0.452453
26742,0.512133
4601,0.519496
23501,0.529775
10847,0.509097
13846,0.491091
29536,0.531148
25068,0.521498
28670,0.462305
22038,0.524474
23913,0.512366
13963,0.53683
20893,0.485613
10458,0.514253
16737,0.501415
7629,0.453717
2154,0.526976
16528,0.464283
7823,0.463799
10650,0.496126
28613,0.490902
28265,0.508333
21720,0.549392
28472,0.480695
30998,0.471009
679,0.479097
1668,0.499181
6247,0.461564
244,0.460978
31542,0.478587
23358,0.495702
3467,0.479554
21737,0.502175
25592,0.55778
19271,0.540118
16767,0.504306
13515,0.506542
1758,0.53851
26631,0.522364
15285,0.468596
11031,0.476407
528,0.495381
22209,0.504811
20002,0.481338
24782,0.549845
2376,0.517165
30538,0.526346
12732,0.513543
24585,0.473025
15611,0.533453
15057,0.514825
14914,0.483909
27653,0.489722
9901,0.538513
18103,0.520546
9667,0.522394
19679,0.509781
1754,0.47431
21423,0.483929
29630,0.528278
29969,0.503472
4077,0.476703
18015,0.533058
31617,0.467969
18473,0.494743
