t_id,probability
19778,0.499135
21465,0.518225
25493,0.473227
8272,0.490833
24140,0.52539
633,0.526068
30355,0.520672
13873,0.514789
2835,0.506992
11453,0.528371
9035,0.48336
19391,0.494855
16637,0.500636
1644,0.522157
2404,0.543943
13152,0.497404
18352,0.473835
3503,0.525131
16219,0.467021
5372,0.46522
9849,0.520161
9688,0.484691
10470,0.540204
25916,0.517898
21486,0.518593
8827,0.521163
29318,0.542872
24955,0.509147
15945,0.527783
13362,0.538737
17559,0.508997
22055,0.479005
27144,0.501622
6312,0.468627
9684,0.5212
16769,0.517472
19850,0.546286
7779,0.497476
9906,0.470171
30553,0.511063
29716,0.516645
23374,0.486769
5150,0.490035
16089,0.487351
29349,0.544617
20046,0.516294
3795,0.519692
9378,0.485438
7030,0.470962
19027,0.516756
30371,0.466967
23582,0.537927
830,0.496867
31362,0.511003
28815,0.516142
2661,0.499094
24581,0.485556
30986,0.489754
10684,0.505961
25635,0.514427
10469,0.503178
22246,0.535422
7112,0.468076
2759,0.533234
29498,0.497453
5212,0.472112
8130,0.490806
10850,0.514633
25922,0.465335
4607,0.515693
4270,0.538498
2402,0.490629
27879,0.509244
28549,0.502185
18434,0.485719
12787,0.482387
23137,0.511489
85,0.52455
2130,0.542811
24702,0.532937
24505,0.535172
22785,0.483919
11885,0.54034
24785,0.504253
9321,0.501011
16499,0.520096
23628,0.519656
282,0.520759
19210,0.485929
13650,0.477916
19738,0.491875
25262,0.468789
17176,0.503176
2571,0.499533
31215,0.52342
26821,0.523365
20109,0.472409
8962,0.475631
17157,0.480826
22695,0.486291
26799,0.510055
30010,0.515349
16360,0.511455
16021,0.49844
16413,0.509737
18949,0.5427
21361,0.535175
20110,0.488945
7966,0.527799
6877,0.46546
19291,0.465793
31016,0.521627
22405,0.501187
18383,0.466035
190,0.526967
148,0.469121
11573,0.521648
14691,0.537735
7169,0.477882
16804,0.504187
19714,0.492786
14254,0.501613
23408,0.493181
16451,0.502889
9644,0.481185
5289,0.486405
17049,0.511435
24749,0.484759
3228,0.517589
14616,0.497264
31698,0.514395
3754,0.534847
11290,0.491561
16119,0.528627
24834,0.485388
29632,0.512547
31726,0.498227
31399,0.547188
8109,0.527172
31485,0.489582
21485,0.502107
4247,0.525021
14182,0.492153
11063,0.501939
12823,0.495362
2780,0.536237
8545,0.50825
29448,0.504479
9735,0.497922
6170,0.521561
6204,0.5199
21736,0.471978
18371,0.474707
27451,0.473474
18261,0.505334
16690,0.481842
19209,0.516179
334,0.506833
13155,0.49136
17380,0.521675
2804,0.498367
24034,0.501993
29244,0.467054
12948,0.504832
24516,0.528434
1099,0.491764
22841,0.519759
22790,0.486204
29634,0.513948
30831,0.511385
18185,0.496753
16306,0.500824
24640,0.472843
19293,0.47594
1530,0.472153
13081,0.478487
10616,0.518847
1622,0.54964
30668,0.524714
2502,0.533704
5229,0.499375
1253,0.474571
16414,0.500335
28735,0.488569
5942,0.52173
24999,0.5034
20013,0.487009
1269,0.477437
18124,0.484059
22677,0.523075
19574,0.525447
29903,0.519305
8508,0.474819
27086,0.520091
20667,0.508929
18422,0.464951
12895,0.525358
25871,0.512486
4810,0.495489
15992,0.479591
5431,0.52218
5948,0.529647
21636,0.505615
30325,0.521496
23662,0.468632
19906,0.51949
15924,0.519721
18165,0.525316
4201,0.493223
25474,0.505784
6106,0.476472
15608,0.521752
18915,0.505409
20193,0.475409
6307,0.478956
7597,0.489559
11789,0.497035
29362,0.504498
21286,0.512893
26333,0.469376
22957,0.50268
11985,0.482888
28604,0.489018
52,0.526222
3025,0.503869
4038,0.529076
16128,0.46725
6231,0.478643
10207,0.542796
14340,0.521698
13572,0.482665
8640,0.523257
187,0.508055
18488,0.489388
13658,0.48412
20835,0.501441
1877,0.507682
438,0.462352
11657,0.494618
3116,0.501615
14365,0.500096
11435,0.492097
1874,0.520116
13459,0.539401
26209,0.529567
30278,0.548532
2094,0.525832
6746,0.522007
13761,0.471665
29514,0.494683
26544,0.477719
9074,0.512692
23536,0.471854
15103,0.517437
28214,0.520377
3550,0.522082
12655,0.488793
16530,0.499844
18492,0.526964
14871,0.490842
4742,0.51319
4148,0.513096
9011,0.511135
19310,0.497114
26675,0.521687
19747,0.528855
17617,0.50852
4924,0.48934
17968,0.461489
27885,0.470255
31334,0.480383
9596,0.492086
10282,0.508207
20604,0.51212
25709,0.473757
2419,0.527457
14981,0.500155
29665,0.475106
3205,0.528134
19664,0.480194
19542,0.506283
19398,0.513172
25756,0.499173
27844,0.467883
29026,0.512237
20004,0.502067
25741,0.474854
12352,0.525393
9462,0.543525
16315,0.466193
20593,0.467786
15625,0.528452
29942,0.5038
9789,0.526537
28150,0.493916
4932,0.502314
27255,0.52234
23178,0.505709
24449,0.497336
10198,0.471775
7718,0.526887
11410,0.490056
22025,0.488199
2705,0.464433
20451,0.537865
22421,0.478696
28179,0.533689
9065,0.525801
13415,0.520619
25656,0.540597
18528,0.469454
17211,0.496501
16467,0.512394
19028,0.503617
31481,0.521247
18930,0.487764
15152,0.487158
25140,0.5464
23306,0.501402
24677,0.523062
14933,0.51411
28042,0.528343
6729,0.523721
27560,0.486403
11022,0.479647
27564,0.506273
18486,0.491585
13966,0.505512
10453,0.518789
8362,0.496847
28217,0.530978
16422,0.531135
28756,0.50513
30136,0.501646
30229,0.534484
4962,0.476246
7593,0.507832
18459,0.514
19705,0.541809
24593,0.494268
16083,0.522424
8202,0.496172
14772,0.499709
24681,0.481104
19282,0.513443
16131,0.491155
8772,0.461269
26742,0.50702
4601,0.511659
23501,0.521882
10847,0.512207
13846,0.494311
29536,0.526329
25068,0.523235
28670,0.471159
22038,0.526053
23913,0.511436
13963,0.534328
20893,0.485886
10458,0.515345
16737,0.498006
7629,0.462481
2154,0.526628
16528,0.470657
7823,0.471087
10650,0.496456
28613,0.495717
28265,0.50799
21720,0.541877
28472,0.489751
30998,0.476351
679,0.480761
1668,0.502528
6247,0.471174
244,0.46832
31542,0.482919
23358,0.501131
3467,0.482994
21737,0.500394
25592,0.550315
19271,0.533066
16767,0.501565
13515,0.507314
1758,0.534239
26631,0.515337
15285,0.4757
11031,0.477315
528,0.496495
22209,0.504629
20002,0.483926
24782,0.543406
2376,0.519621
30538,0.525474
12732,0.51385
24585,0.478714
15611,0.528869
15057,0.518199
14914,0.484057
27653,0.493031
9901,0.535737
18103,0.514814
9667,0.523192
19679,0.50451
1754,0.480795
21423,0.489879
29630,0.528943
29969,0.501458
4077,0.480083
18015,0.529856
31617,0.473179
18473,0.497473
27837,0.476926
13699,0.502507
31133,0.513538
3843,0.520334
28709,0.508881
18039,0.535364
19974,0.494225
14696,0.540445
23521,0.474784
14953,0.47496
7572,0.492417
12351,0.470736
14210,0.492286
31044,0.513575
20571,0.476566
14925,0.527193
24464,0.518074
8195,0.516677
27652,0.494513
21420,0.517563
17901,0.521912
5998,0.500678
31450,0.541233
5966,0.496499
9862,0.468723
15325,0.484197
27362,0.524938
23329,0.533276
25430,0.478483
6520,0.508696
13954,0.5275
18041,0.519882
14938,0.498564
3546,0.504885
23133,0.474215
5527,0.489737
8183,0.470643
21560,0.497359
31017,0.478163
25163,0.479483
26232,0.536057
20733,0.512899
20382,0.546649
4050,0.507782
21726,0.539176
9896,0.47062
16192,0.477219
15653,0.508566
2741,0.514453
8355,0.511603
20945,0.512958
27851,0.498278
27034,0.508662
27559,0.542056
27736,0.494254
11815,0.510563
486,0.524887
4344,0.525987
13558,0.48783
24306,0.509448
6445,0.531207
2014,0.526325
3573,0.487167
10760,0.482473
19075,0.484652
27107,0.517299
28484,0.518895
10701,0.527842
29165,0.503287
28387,0.469514
19840,0.525173
4793,0.499936
24153,0.462838
16417,0.509718
12852,0.535957
5300,0.494172
24046,0.498195
20254,0.546843
7541,0.466115
28593,0.501794
19631,0.488152
4997,0.506639
31421,0.484579
6550,0.490772
13576,0.497257
12581,0.495408
399,0.502862
28597,0.50265
8276,0.515637
10962,0.507111
8527,0.480572
19864,0.518783
21007,0.52569
20811,0.515275
11342,0.536629
1312,0.513309
715,0.486117
20364,0.529037
17862,0.522189
24906,0.520268
11630,0.521068
21986,0.504567
3526,0.484156
22203,0.533662
18494,0.494372
16391,0.510986
12737,0.464891
11584,0.470879
18092,0.519751
811,0.539608
10234,0.512609
7545,0.483354
14573,0.516019
17279,0.505751
13207,0.532993
10061,0.519258
8562,0.497678
28945,0.526026
1931,0.480234
26339,0.528017
22602,0.527748
16125,0.492087
10866,0.531962
28076,0.500586
17811,0.524276
26143,0.518603
17869,0.481835
3841,0.506527
13259,0.499409
21781,0.509387
1778,0.503267
20825,0.51704
4618,0.490012
16272,0.521425
15875,0.545293
12157,0.480088
20116,0.52105
5526,0.524332
12916,0.492137
31331,0.514484
31764,0.489837
21761,0.522964
26370,0.474705
14885,0.482641
26682,0.535907
359,0.507285
207,0.493821
7109,0.53534
13214,0.542104
4910,0.547008
20803,0.509408
6802,0.516084
31443,0.51704
29756,0.475576
21989,0.500323
28642,0.469015
26474,0.491309
9361,0.498737
9287,0.520407
7326,0.500626
20031,0.496513
26392,0.527903
16147,0.512302
12026,0.460914
30939,0.491481
15868,0.537317
28631,0.540676
27469,0.504904
540,0.50155
16256,0.46411
9336,0.503929
15041,0.4976
11110,0.517211
3985,0.490827
26204,0.509507
5594,0.532332
858,0.477191
18452,0.525663
1605,0.507818
30479,0.502775
3267,0.491093
17886,0.501744
12415,0.513099
15612,0.540934
23368,0.492905
16266,0.514207
18618,0.532587
4021,0.476644
1216,0.501272
11028,0.493588
13677,0.512514
23891,0.497444
19798,0.534779
21218,0.508004
29425,0.510486
4773,0.512535
30837,0.532515
22302,0.518818
29566,0.479038
26245,0.479679
27252,0.522901
5714,0.488437
4052,0.519819
21124,0.510253
16811,0.471449
30153,0.543887
19023,0.525873
5760,0.487172
24719,0.529053
6631,0.512994
28058,0.484266
5281,0.522656
10105,0.491897
8427,0.487745
19768,0.473655
4879,0.491602
13910,0.486425
20269,0.508421
7863,0.471849
17621,0.542995
25726,0.499067
592,0.514904
23064,0.472492
9281,0.50886
6972,0.479974
16325,0.521512
27880,0.506642
4,0.536053
11625,0.4921
22017,0.507247
248,0.533352
3875,0.528512
3242,0.512638
9280,0.53674
18444,0.513475
22192,0.480934
18683,0.502154
2975,0.482168
1748,0.482644
31478,0.48523
5743,0.492364
3839,0.540377
14089,0.545463
22410,0.526741
22549,0.473665
27914,0.482782
9729,0.507128
31233,0.508478
17293,0.501939
30905,0.481872
8847,0.462898
9474,0.48764
29412,0.481681
31100,0.500465
21086,0.486284
31434,0.475164
24251,0.487397
