t_id,probability
19778,0.504543
21465,0.522711
25493,0.464617
8272,0.500165
24140,0.539847
633,0.529346
30355,0.533489
13873,0.522028
2835,0.514366
11453,0.533446
9035,0.485155
19391,0.494556
16637,0.4989
1644,0.52646
2404,0.551468
13152,0.505273
18352,0.468066
3503,0.534577
16219,0.456434
5372,0.449766
9849,0.526104
9688,0.490148
10470,0.547676
25916,0.533049
21486,0.525915
8827,0.525733
29318,0.55493
24955,0.518595
15945,0.537165
13362,0.545471
17559,0.515211
22055,0.479528
27144,0.512546
6312,0.456127
9684,0.530296
16769,0.530169
19850,0.555989
7779,0.50387
9906,0.458303
30553,0.512629
29716,0.525352
23374,0.489095
5150,0.487635
16089,0.484098
29349,0.555102
20046,0.526239
3795,0.531837
9378,0.479874
7030,0.467962
19027,0.521465
30371,0.452725
23582,0.54363
830,0.506993
31362,0.513706
28815,0.53125
2661,0.505358
24581,0.486003
30986,0.496623
10684,0.515862
25635,0.51446
10469,0.509452
22246,0.545177
7112,0.455723
2759,0.540282
29498,0.506428
5212,0.465431
8130,0.495462
10850,0.530692
25922,0.450738
4607,0.520888
4270,0.545108
2402,0.496498
27879,0.519606
28549,0.511854
18434,0.490895
12787,0.488034
23137,0.51061
85,0.533449
2130,0.556977
24702,0.539166
24505,0.54543
22785,0.48041
11885,0.547567
24785,0.505497
9321,0.506287
16499,0.532348
23628,0.521714
282,0.522926
19210,0.48735
13650,0.479099
19738,0.492422
25262,0.461532
17176,0.509165
2571,0.506299
31215,0.530331
26821,0.536696
20109,0.467938
8962,0.46135
17157,0.482668
22695,0.485594
26799,0.522715
30010,0.53178
16360,0.513928
16021,0.493959
16413,0.517395
18949,0.548633
21361,0.540983
20110,0.494732
7966,0.542262
6877,0.452477
19291,0.449025
31016,0.521947
22405,0.50076
18383,0.451808
190,0.535312
148,0.462016
11573,0.536291
14691,0.547003
7169,0.481284
16804,0.503189
19714,0.501832
14254,0.50723
23408,0.499419
16451,0.507962
9644,0.476493
5289,0.486856
17049,0.515285
24749,0.482756
3228,0.535306
14616,0.494674
31698,0.518674
3754,0.550024
11290,0.496293
16119,0.532441
24834,0.491936
29632,0.524054
31726,0.502005
31399,0.56013
8109,0.536708
31485,0.490679
21485,0.503652
4247,0.537333
14182,0.497091
11063,0.503718
12823,0.498322
2780,0.555255
8545,0.521145
29448,0.502694
9735,0.504305
6170,0.529479
6204,0.530942
21736,0.464236
18371,0.474056
27451,0.465341
18261,0.50804
16690,0.485283
19209,0.513627
334,0.504673
13155,0.499737
17380,0.527547
2804,0.503943
24034,0.502174
29244,0.458028
12948,0.51321
24516,0.533232
1099,0.495135
22841,0.528361
22790,0.481858
29634,0.524921
30831,0.515655
18185,0.49715
16306,0.500762
24640,0.468379
19293,0.475545
1530,0.463671
13081,0.474468
10616,0.526579
1622,0.564044
30668,0.524826
2502,0.53658
5229,0.509215
1253,0.474484
16414,0.509593
28735,0.488044
5942,0.532799
24999,0.517687
20013,0.49151
1269,0.479204
18124,0.489435
22677,0.528921
19574,0.529588
29903,0.524208
8508,0.471497
27086,0.526052
