t_id,probability
19778,0.494139
21465,0.498048
25493,0.472307
8272,0.48903
24140,0.519518
633,0.520365
30355,0.51401
13873,0.511649
2835,0.494813
11453,0.512927
9035,0.495877
19391,0.494039
16637,0.515691
1644,0.515431
2404,0.540216
13152,0.501713
18352,0.467236
3503,0.52327
16219,0.470566
5372,0.465559
9849,0.493428
9688,0.477293
10470,0.517706
25916,0.500401
21486,0.501039
8827,0.512625
29318,0.538386
24955,0.514758
15945,0.511709
13362,0.51924
17559,0.508101
22055,0.48224
27144,0.497323
6312,0.485538
9684,0.522565
16769,0.506816
19850,0.53577
7779,0.499679
9906,0.46728
30553,0.506752
29716,0.500799
23374,0.501395
5150,0.485647
16089,0.496543
29349,0.531119
20046,0.507737
3795,0.499117
9378,0.495093
7030,0.485419
19027,0.506239
30371,0.460836
23582,0.516115
830,0.502442
31362,0.512458
28815,0.506457
2661,0.501624
24581,0.487032
30986,0.487606
10684,0.505322
25635,0.501318
10469,0.489955
22246,0.52315
7112,0.473036
2759,0.529993
29498,0.493418
5212,0.477761
8130,0.485384
10850,0.490486
25922,0.481141
4607,0.498754
4270,0.533817
2402,0.479383
27879,0.493175
28549,0.48619
18434,0.487575
12787,0.488134
23137,0.510888
85,0.521781
2130,0.532516
24702,0.51808
24505,0.536006
22785,0.480397
11885,0.532653
24785,0.5138
9321,0.500738
16499,0.500996
23628,0.49467
282,0.511824
19210,0.49232
13650,0.457382
19738,0.479933
25262,0.474259
17176,0.497559
2571,0.514584
31215,0.51898
26821,0.498142
20109,0.488283
8962,0.479434
17157,0.502373
22695,0.502307
26799,0.482212
30010,0.50276
16360,0.50612
16021,0.486686
16413,0.519653
18949,0.524134
21361,0.526622
20110,0.491329
7966,0.521221
6877,0.4663
19291,0.469615
31016,0.51085
22405,0.488937
18383,0.464273
190,0.495796
148,0.485672
11573,0.520214
14691,0.526185
7169,0.469999
16804,0.507611
19714,0.495781
14254,0.476886
23408,0.486503
16451,0.51438
9644,0.481643
5289,0.497968
17049,0.51842
24749,0.508566
3228,0.521364
14616,0.491281
31698,0.520995
3754,0.504868
11290,0.494808
16119,0.524274
24834,0.479976
29632,0.500615
31726,0.499275
31399,0.545956
8109,0.523461
31485,0.483966
21485,0.503589
4247,0.501053
14182,0.492294
11063,0.493718
12823,0.486242
2780,0.506455
8545,0.487287
29448,0.494992
9735,0.495507
6170,0.522575
6204,0.516421
21736,0.479239
18371,0.46884
27451,0.485038
18261,0.497876
16690,0.491361
19209,0.510776
334,0.512516
13155,0.486273
17380,0.520497
2804,0.502443
24034,0.494523
29244,0.475809
12948,0.5133
24516,0.529957
1099,0.499077
22841,0.516997
22790,0.468756
29634,0.503328
30831,0.505036
18185,0.495779
16306,0.50876
24640,0.464678
19293,0.474661
1530,0.483785
13081,0.466104
10616,0.509379
1622,0.558424
30668,0.542307
2502,0.52589
