t_id,probability
19778,0.495741
21465,0.51389
25493,0.502556
8272,0.50427
24140,0.495564
633,0.521391
30355,0.497016
13873,0.50355
2835,0.501297
11453,0.522942
9035,0.486108
19391,0.509749
16637,0.518994
1644,0.526771
2404,0.526619
13152,0.496776
18352,0.481656
3503,0.515217
16219,0.462695
5372,0.495134
9849,0.507224
9688,0.480281
10470,0.521204
25916,0.501651
21486,0.526324
8827,0.521445
29318,0.515927
24955,0.5162
15945,0.523525
13362,0.527877
17559,0.523558
22055,0.496798
27144,0.503103
6312,0.464948
9684,0.511605
16769,0.506581
19850,0.5229
7779,0.501889
9906,0.503974
30553,0.515592
29716,0.526718
23374,0.488104
5150,0.516622
16089,0.504638
29349,0.525014
20046,0.511339
3795,0.517351
9378,0.511661
7030,0.496738
19027,0.520972
30371,0.502823
23582,0.523923
830,0.497096
31362,0.506774
28815,0.501764
2661,0.482678
24581,0.507255
30986,0.484442
10684,0.4782
25635,0.519215
10469,0.511009
22246,0.518616
7112,0.483342
2759,0.518979
29498,0.472209
5212,0.464617
8130,0.454932
10850,0.496244
25922,0.465691
4607,0.525805
4270,0.520794
2402,0.505755
27879,0.514513
28549,0.477697
18434,0.482077
12787,0.49498
23137,0.518891
85,0.508954
2130,0.520082
24702,0.52215
24505,0.516632
22785,0.510071
11885,0.519855
24785,0.50486
9321,0.503408
16499,0.513656
23628,0.515786
282,0.517264
19210,0.490176
13650,0.494217
19738,0.509207
25262,0.481072
17176,0.507954
2571,0.47643
31215,0.512933
26821,0.502038
20109,0.477089
8962,0.515039
17157,0.491904
22695,0.510674
26799,0.507134
30010,0.506836
16360,0.521138
16021,0.518028
16413,0.498642
18949,0.521448
21361,0.516595
20110,0.493258
7966,0.515023
6877,0.476538
19291,0.474727
31016,0.517436
22405,0.517805
18383,0.497121
190,0.516988
148,0.479011
11573,0.502387
14691,0.525138
7169,0.490143
16804,0.525965
19714,0.498878
14254,0.503867
23408,0.481468
16451,0.501599
9644,0.501128
5289,0.481519
17049,0.51474
24749,0.485963
3228,0.508021
14616,0.516438
31698,0.514006
3754,0.510243
11290,0.486104
16119,0.519259
24834,0.492637
29632,0.502712
31726,0.514138
31399,0.525936
8109,0.52186
31485,0.491236
21485,0.518173
4247,0.515158
14182,0.48957
11063,0.517933
12823,0.510149
2780,0.512265
8545,0.486042
29448,0.515533
9735,0.499659
6170,0.506199
6204,0.512286
21736,0.486843
18371,0.504861
27451,0.500118
18261,0.522144
16690,0.491712
19209,0.524426
334,0.522263
13155,0.498235
17380,0.515598
2804,0.507443
24034,0.518483
29244,0.464702
12948,0.506685
24516,0.515216
1099,0.490576
22841,0.506659
22790,0.507277
29634,0.50218
30831,0.508451
18185,0.511865
16306,0.50686
24640,0.461863
19293,0.474689
1530,0.458781
13081,0.503052
10616,0.520223
1622,0.526213
30668,0.516388
2502,0.52689
5229,0.500502
1253,0.476221
16414,0.496344
28735,0.489198
5942,0.510547
24999,0.499375
20013,0.506273
1269,0.487598
18124,0.490302
22677,0.515077
19574,0.511355
29903,0.518915
8508,0.499034
27086,0.514529
20667,0.499728
18422,0.482247
12895,0.510163
25871,0.512788
4810,0.501789
15992,0.489576
5431,0.514097
5948,0.513628
21636,0.507607
30325,0.526841
23662,0.47067
19906,0.520387
15924,0.519804
18165,0.520602
4201,0.512709
25474,0.49719
6106,0.49465
15608,0.522242
18915,0.506874
20193,0.496225
6307,0.502031
7597,0.510276
11789,0.515743
29362,0.512669
21286,0.517271
26333,0.506087
22957,0.514141
11985,0.483503
28604,0.519709
52,0.527222
3025,0.519861
4038,0.505497
16128,0.497887
6231,0.483421
10207,0.524598
14340,0.49802
13572,0.497765
8640,0.513258
187,0.510956
18488,0.516896
13658,0.498878
20835,0.50097
1877,0.503688
438,0.481179
11657,0.497155
3116,0.515599
14365,0.49126
11435,0.49929
1874,0.494051
13459,0.524586
26209,0.5248
30278,0.524233
2094,0.50754
6746,0.500988
13761,0.48044
29514,0.507295
26544,0.497772
9074,0.502743
23536,0.501338
15103,0.522883
28214,0.520138
3550,0.48823
12655,0.521073
16530,0.491497
18492,0.524144
14871,0.492639
4742,0.508284
4148,0.51053
9011,0.525925
19310,0.513302
26675,0.525006
19747,0.528822
17617,0.524527
4924,0.461282
17968,0.43901
27885,0.490277
31334,0.489759
9596,0.504076
10282,0.51543
20604,0.492548
25709,0.504928
2419,0.51224
14981,0.513479
29665,0.500333
3205,0.515172
19664,0.500941
19542,0.515096
19398,0.509768
25756,0.493225
27844,0.465319
29026,0.525468
20004,0.505971
25741,0.453778
12352,0.519935
9462,0.521675
16315,0.479311
20593,0.483949
15625,0.512912
29942,0.515137
9789,0.504296
28150,0.482636
4932,0.490001
27255,0.517433
23178,0.500757
24449,0.485967
10198,0.461549
7718,0.524969
11410,0.486152
22025,0.490938
2705,0.487743
20451,0.524114
22421,0.501721
28179,0.526017
9065,0.519802
13415,0.524479
25656,0.528421
18528,0.480014
17211,0.505138
16467,0.513783
19028,0.496917
31481,0.520427
18930,0.498102
15152,0.468254
25140,0.52788
23306,0.498964
24677,0.501948
14933,0.514461
28042,0.5178
6729,0.514067
27560,0.482541
11022,0.496267
27564,0.515481
18486,0.487522
13966,0.506876
10453,0.515579
8362,0.506254
28217,0.527392
16422,0.516743
28756,0.492565
30136,0.488939
30229,0.525273
4962,0.498814
7593,0.507117
18459,0.515014
19705,0.522098
24593,0.500174
16083,0.52149
8202,0.495171
14772,0.518684
24681,0.498808
19282,0.499684
16131,0.494725
8772,0.449269
26742,0.503658
4601,0.48926
23501,0.499612
10847,0.522043
13846,0.504729
29536,0.51919
25068,0.520737
28670,0.495915
22038,0.522991
23913,0.504538
13963,0.525134
20893,0.486631
10458,0.517362
16737,0.49541
7629,0.46537
2154,0.510735
16528,0.481776
7823,0.493197
10650,0.50241
28613,0.507828
28265,0.510759
21720,0.515894
28472,0.513472
30998,0.494584
679,0.495992
1668,0.502718
6247,0.50654
244,0.486058
31542,0.487048
23358,0.522478
3467,0.494224
21737,0.484179
25592,0.525169
19271,0.517358
16767,0.497289
13515,0.519144
1758,0.51908
26631,0.502321
15285,0.503028
11031,0.451161
528,0.505131
22209,0.492553
20002,0.503886
24782,0.523005
2376,0.520122
30538,0.514997
12732,0.51787
24585,0.490041
15611,0.519031
15057,0.520356
14914,0.475395
27653,0.504173
9901,0.519625
18103,0.502617
9667,0.516066
19679,0.490459
1754,0.497019
21423,0.508007
29630,0.522371
29969,0.499063
4077,0.497758
18015,0.514646
31617,0.490749
18473,0.516007
27837,0.474447
13699,0.491459
31133,0.519601
3843,0.528985
28709,0.503979
18039,0.519149
19974,0.515802
14696,0.526358
23521,0.465953
14953,0.498591
7572,0.49408
12351,0.494973
14210,0.506028
31044,0.51498
20571,0.491381
14925,0.522213
24464,0.52048
8195,0.527102
27652,0.519058
21420,0.510299
17901,0.505435
5998,0.505557
31450,0.518268
5966,0.512252
9862,0.498038
15325,0.482493
27362,0.505265
23329,0.512433
25430,0.497333
6520,0.513853
13954,0.520425
18041,0.520074
14938,0.495005
3546,0.522321
23133,0.470711
5527,0.507172
8183,0.46617
21560,0.499272
31017,0.496818
25163,0.486654
26232,0.513055
20733,0.522305
20382,0.517997
4050,0.522728
21726,0.521144
9896,0.485326
16192,0.513833
15653,0.518656
2741,0.511366
8355,0.505216
20945,0.499893
27851,0.521998
27034,0.515963
27559,0.529767
27736,0.523438
11815,0.504959
486,0.499128
4344,0.520313
13558,0.506238
24306,0.506381
6445,0.517247
2014,0.512096
3573,0.505123
10760,0.465387
19075,0.486326
27107,0.497196
28484,0.500016
10701,0.514667
29165,0.502982
28387,0.472813
19840,0.517052
4793,0.502363
24153,0.478015
16417,0.493833
12852,0.52398
5300,0.51684
24046,0.480036
20254,0.526966
7541,0.481605
28593,0.511772
19631,0.476044
4997,0.520949
31421,0.502492
6550,0.492446
13576,0.498387
12581,0.506663
399,0.518889
28597,0.490443
8276,0.519659
10962,0.489322
8527,0.492011
19864,0.51084
21007,0.506496
20811,0.524773
11342,0.524434
1312,0.505383
715,0.48503
20364,0.509515
17862,0.499866
24906,0.508413
11630,0.518304
21986,0.488938
3526,0.504986
22203,0.51768
18494,0.519789
16391,0.508519
12737,0.488949
11584,0.475276
18092,0.522967
811,0.514052
10234,0.497643
7545,0.491162
14573,0.524088
17279,0.51289
13207,0.517862
10061,0.513049
8562,0.498291
28945,0.518582
1931,0.46377
26339,0.515583
22602,0.511436
16125,0.506637
10866,0.527655
28076,0.520372
17811,0.494422
26143,0.508496
17869,0.495371
3841,0.501427
13259,0.501808
21781,0.51166
1778,0.519042
20825,0.496365
4618,0.472918
16272,0.508623
15875,0.527523
12157,0.471804
20116,0.520291
5526,0.512721
12916,0.484141
31331,0.52085
31764,0.492086
21761,0.520788
26370,0.474926
14885,0.475212
26682,0.517303
359,0.48551
207,0.495636
7109,0.522923
13214,0.527004
4910,0.522241
20803,0.496163
6802,0.514628
31443,0.505223
29756,0.474089
21989,0.505224
28642,0.463667
26474,0.518435
9361,0.513713
9287,0.51162
7326,0.50446
20031,0.507189
26392,0.508567
16147,0.51207
12026,0.458335
30939,0.481832
15868,0.523039
28631,0.519081
27469,0.521831
540,0.50389
16256,0.491854
9336,0.50583
15041,0.526391
11110,0.489391
3985,0.503867
26204,0.48834
5594,0.505961
858,0.479832
18452,0.507744
1605,0.508248
30479,0.499509
3267,0.516097
17886,0.510973
12415,0.52591
15612,0.513697
23368,0.482552
16266,0.505266
18618,0.51673
4021,0.478489
1216,0.514088
11028,0.506989
13677,0.492706
23891,0.490424
19798,0.52248
21218,0.518229
29425,0.504222
4773,0.505994
30837,0.512327
22302,0.528049
29566,0.491253
26245,0.515037
27252,0.516278
5714,0.514238
4052,0.514576
21124,0.513115
16811,0.465074
30153,0.524427
19023,0.513095
5760,0.48939
24719,0.51928
6631,0.506324
28058,0.495497
5281,0.523866
10105,0.504178
8427,0.497354
19768,0.5028
4879,0.512078
13910,0.512555
20269,0.526132
7863,0.489408
17621,0.524316
25726,0.475064
592,0.504162
23064,0.500903
9281,0.50671
6972,0.508821
16325,0.529243
27880,0.494613
4,0.521252
11625,0.499083
22017,0.492249
248,0.510736
3875,0.522156
3242,0.493583
9280,0.522885
18444,0.520038
22192,0.489414
18683,0.498551
2975,0.484652
1748,0.514602
31478,0.503391
5743,0.508378
3839,0.522622
14089,0.52847
22410,0.517967
22549,0.497882
27914,0.505339
9729,0.51513
31233,0.483285
17293,0.513267
30905,0.50071
8847,0.464532
9474,0.49654
29412,0.500314
31100,0.515737
21086,0.495407
31434,0.510956
24251,0.464788
11270,0.499738
17467,0.497071
11519,0.499734
28830,0.501787
15019,0.510999
14260,0.515222
16551,0.515805
21441,0.521795
18209,0.495138
30470,0.517115
11030,0.507152
11655,0.456644
12778,0.520323
24795,0.494565
11018,0.500918
30044,0.504539
730,0.511008
10361,0.507908
20658,0.520782
28965,0.493401
25869,0.509175
11942,0.518529
3214,0.485491
19914,0.493861
28739,0.502024
16896,0.481983
8313,0.525999
27634,0.517837
25779,0.499758
15572,0.513611
9613,0.52772
8381,0.512388
14750,0.50234
26703,0.488178
11901,0.483777
13158,0.52181
11296,0.488399
18061,0.49793
6891,0.49939
3107,0.514992
6337,0.51614
27273,0.489506
13480,0.486884
7896,0.508243
7158,0.471374
23990,0.509668
30410,0.522132
27377,0.486538
22469,0.518062
18907,0.524953
18699,0.521508
9799,0.516933
6388,0.448542
8887,0.48265
10250,0.515454
6072,0.48039
2782,0.488188
5979,0.522848
1248,0.525151
15195,0.481488
8184,0.524435
7285,0.517063
3948,0.508429
20615,0.495762
20084,0.49932
6889,0.47624
29439,0.502647
23023,0.484731
12736,0.524134
31186,0.480788
28470,0.473276
29129,0.508914
322,0.476092
4521,0.461722
31318,0.5052
24545,0.516413
13618,0.522536
551,0.518675
6410,0.475329
17924,0.515777
3299,0.484317
18631,0.482101
9245,0.515655
10022,0.525031
18809,0.518066
3905,0.505945
8019,0.489329
11167,0.471741
12590,0.475489
11948,0.49798
13894,0.513287
26329,0.512234
20657,0.500697
14800,0.509483
27607,0.499787
23566,0.501191
25390,0.468091
10177,0.492019
17163,0.521995
5231,0.521495
7247,0.503409
5867,0.50508
10627,0.517562
27358,0.51905
4027,0.489048
23092,0.498946
29721,0.513073
23538,0.507766
18275,0.477484
10873,0.513814
5465,0.522049
6585,0.505063
607,0.49491
23093,0.517869
5386,0.481297
12476,0.524449
4836,0.486415
14995,0.524262
30719,0.516011
19198,0.476233
22254,0.523014
20618,0.516539
23336,0.525578
15385,0.50859
27399,0.502982
7342,0.518451
30245,0.484453
17208,0.510849
28883,0.47441
10079,0.488658
22039,0.521342
25370,0.512434
30927,0.520047
23271,0.483536
12265,0.51906
23153,0.507729
6045,0.511161
7327,0.506546
31120,0.490297
3563,0.524782
14442,0.513505
15196,0.526366
7508,0.471313
15206,0.518392
20194,0.51822
2973,0.51723
911,0.527332
16563,0.473399
3547,0.478667
1309,0.504416
29177,0.510225
7892,0.517702
25880,0.521157
6745,0.504452
535,0.497703
10535,0.495739
18784,0.513795
24179,0.513733
30707,0.524824
25583,0.511149
11334,0.473736
10521,0.50978
24408,0.508663
17045,0.519253
18591,0.505238
21596,0.519866
3392,0.514985
26237,0.449963
20907,0.508214
3690,0.501194
772,0.481135
12357,0.526336
2736,0.508135
9863,0.494364
5918,0.462064
26830,0.496793
23693,0.514681
150,0.528447
29113,0.488384
1847,0.514831
19063,0.521753
8874,0.46111
18841,0.506225
15023,0.49676
5798,0.521749
31543,0.501213
29025,0.521304
19409,0.519332
8212,0.508622
631,0.506909
14414,0.474476
24941,0.524686
13529,0.5039
4331,0.500707
23024,0.505077
17429,0.526066
3830,0.525099
22010,0.487451
5126,0.48476
24708,0.509383
29920,0.509582
15698,0.497387
16721,0.479178
13940,0.498633
18986,0.522883
23819,0.476936
29772,0.476459
10035,0.516107
17346,0.50883
683,0.518241
3139,0.510758
16194,0.508854
19620,0.498794
26004,0.51176
20916,0.498676
23310,0.513909
25543,0.496824
24056,0.504901
12519,0.464525
23266,0.507345
20287,0.525915
25452,0.517586
4066,0.506594
17852,0.515543
23802,0.519457
28574,0.479469
25047,0.504613
10374,0.5049
27546,0.522887
6484,0.527577
4965,0.508451
7307,0.506414
314,0.51491
2964,0.517705
4459,0.489374
1361,0.507698
20043,0.491815
28477,0.504896
4858,0.508606
16028,0.493404
18509,0.526921
27529,0.505693
21144,0.507121
15279,0.487269
9712,0.478399
22552,0.499093
22817,0.499724
12555,0.458922
1407,0.50927
27493,0.501554
28957,0.508684
7121,0.501409
17333,0.490796
24693,0.512825
6759,0.487533
8615,0.500912
15750,0.520424
22960,0.514539
16047,0.526545
1755,0.480983
15794,0.485088
21852,0.456503
21820,0.515776
22467,0.513496
24452,0.521464
5775,0.506279
13328,0.524015
29602,0.508669
9723,0.502248
14487,0.52
27006,0.519967
173,0.514624
422,0.498964
22237,0.524219
7948,0.521364
16815,0.499221
19709,0.526615
26687,0.497588
29385,0.507217
3110,0.527105
8705,0.524894
74,0.514481
8747,0.519542
15673,0.493153
28547,0.513602
29105,0.480718
25519,0.512599
8128,0.514338
1915,0.52577
31730,0.50402
13469,0.515368
22524,0.508902
11139,0.488603
28783,0.53113
5870,0.468811
13822,0.473926
17528,0.523057
19528,0.519533
22127,0.519094
25051,0.50425
6367,0.508903
21552,0.514599
30091,0.491072
544,0.519739
22673,0.472202
4356,0.518654
5871,0.486492
28803,0.511963
6057,0.488483
14181,0.522884
4568,0.500187
16066,0.50115
21187,0.465767
13902,0.517812
6845,0.514291
15677,0.500878
21341,0.514455
8886,0.499493
13926,0.508166
2225,0.492742
31203,0.461652
16364,0.492587
10807,0.506043
5888,0.503255
12890,0.518389
12797,0.495593
9697,0.52463
29316,0.506478
24589,0.518931
2157,0.518642
27999,0.51395
28976,0.502916
3873,0.526364
26556,0.493547
903,0.518205
8889,0.518567
15579,0.512096
6956,0.502658
11594,0.49532
18718,0.512146
6967,0.48794
4876,0.521825
4011,0.494397
10751,0.509265
24051,0.518396
12542,0.454404
29687,0.507057
18105,0.522285
22988,0.511337
21310,0.51324
29971,0.493684
17991,0.51628
21051,0.503907
11932,0.516698
16687,0.502393
10918,0.514303
8717,0.516231
25173,0.513144
1094,0.50303
30375,0.489582
1337,0.476448
18812,0.521189
11599,0.521805
901,0.52294
29519,0.516562
16330,0.510703
30131,0.516033
30920,0.484776
17104,0.49653
4866,0.494907
2801,0.479685
4007,0.516639
25911,0.523543
2947,0.510813
1066,0.473219
9360,0.523356
16765,0.517422
3320,0.502036
5149,0.510751
9806,0.497223
2363,0.518915
16878,0.523166
27518,0.516108
8852,0.526531
12919,0.497282
24912,0.505746
24479,0.491408
4464,0.482562
