t_id,probability
19778,0.500486
21465,0.518394
25493,0.463307
8272,0.498216
24140,0.532735
633,0.520358
30355,0.530219
13873,0.517451
2835,0.509085
11453,0.534205
9035,0.481177
19391,0.494319
16637,0.492619
1644,0.519906
2404,0.545565
13152,0.499243
18352,0.464405
3503,0.528282
16219,0.455693
5372,0.4481
9849,0.520282
9688,0.485061
10470,0.543314
25916,0.530926
21486,0.514744
8827,0.51972
29318,0.550697
24955,0.509982
15945,0.53414
13362,0.53972
17559,0.50769
22055,0.475971
27144,0.507041
6312,0.455841
9684,0.529375
16769,0.53052
19850,0.54949
7779,0.497265
9906,0.455163
30553,0.511064
29716,0.514524
23374,0.486071
5150,0.475959
16089,0.479654
29349,0.547952
20046,0.521818
3795,0.52887
9378,0.474229
7030,0.460129
19027,0.513431
30371,0.454159
23582,0.539031
830,0.503917
31362,0.509798
28815,0.527905
2661,0.498208
24581,0.485914
30986,0.494356
10684,0.510978
25635,0.511357
10469,0.503175
22246,0.543302
7112,0.456836
2759,0.537552
29498,0.502102
5212,0.462957
8130,0.492086
10850,0.526076
25922,0.451542
4607,0.507934
4270,0.540819
2402,0.492724
27879,0.509702
28549,0.505332
18434,0.486441
12787,0.483495
23137,0.506788
85,0.53367
2130,0.552585
24702,0.536276
24505,0.542044
22785,0.477477
11885,0.539861
24785,0.498713
9321,0.503677
16499,0.531168
23628,0.511806
282,0.513195
19210,0.483697
13650,0.471199
19738,0.488838
25262,0.45969
17176,0.500555
2571,0.502614
31215,0.529874
26821,0.520691
20109,0.464847
8962,0.461641
17157,0.477374
22695,0.484323
26799,0.51981
30010,0.528202
16360,0.505188
16021,0.489225
16413,0.513078
18949,0.543698
21361,0.535455
20110,0.492862
7966,0.539502
6877,0.453061
19291,0.450493
31016,0.5152
22405,0.492216
18383,0.449643
190,0.531166
148,0.458821
11573,0.531412
14691,0.542494
7169,0.481618
16804,0.492886
19714,0.498822
14254,0.498925
23408,0.495288
16451,0.509208
9644,0.475974
5289,0.483826
17049,0.513481
24749,0.479287
3228,0.533013
14616,0.490428
31698,0.513575
3754,0.544244
11290,0.489061
16119,0.533382
24834,0.487967
29632,0.524428
31726,0.498399
31399,0.555704
8109,0.531493
31485,0.484896
21485,0.495157
4247,0.531357
14182,0.4913
11063,0.490402
12823,0.493927
2780,0.550722
8545,0.517568
29448,0.49551
9735,0.500973
6170,0.522915
6204,0.527363
21736,0.464294
18371,0.467346
27451,0.463891
18261,0.496609
16690,0.483117
19209,0.512149
334,0.498329
13155,0.496342
17380,0.527116
2804,0.498282
24034,0.500064
29244,0.455516
12948,0.510873
24516,0.528661
1099,0.488663
22841,0.524495
22790,0.478876
29634,0.518343
30831,0.510569
18185,0.492721
16306,0.498828
24640,0.464311
19293,0.468959
1530,0.463384
13081,0.472527
10616,0.518882
1622,0.557334
30668,0.519295
2502,0.529957
5229,0.505117
1253,0.469048
16414,0.505627
28735,0.488228
5942,0.524391
24999,0.515381
20013,0.489713
1269,0.476134
18124,0.486699
22677,0.522952
19574,0.528431
29903,0.519862
8508,0.467353
27086,0.522306
20667,0.51391
18422,0.452851
12895,0.537869
25871,0.515756
4810,0.508242
15992,0.479048
5431,0.521517
5948,0.526389
21636,0.516812
30325,0.519058
23662,0.457105
19906,0.514352
15924,0.511564
18165,0.519273
4201,0.487955
25474,0.504045
6106,0.466427
