t_id,probability
19778,0.502559
21465,0.518662
25493,0.462833
8272,0.496317
24140,0.534533
633,0.522166
30355,0.534781
13873,0.519644
2835,0.507011
11453,0.527067
9035,0.484601
19391,0.493629
16637,0.492177
1644,0.523137
2404,0.55159
13152,0.503832
18352,0.460625
3503,0.531923
16219,0.458746
5372,0.447341
9849,0.519571
9688,0.489849
10470,0.544754
25916,0.526306
21486,0.512649
8827,0.518579
29318,0.557046
24955,0.509084
15945,0.533197
13362,0.542081
17559,0.506943
22055,0.48131
27144,0.508208
6312,0.460137
9684,0.528351
16769,0.523566
19850,0.55552
7779,0.500352
9906,0.452438
30553,0.512312
29716,0.512744
23374,0.488871
5150,0.48192
16089,0.485034
29349,0.550848
20046,0.521608
3795,0.521959
9378,0.479022
7030,0.467275
19027,0.514104
30371,0.450052
23582,0.542316
830,0.502172
31362,0.512222
28815,0.528351
2661,0.50308
24581,0.486183
30986,0.496794
10684,0.512915
25635,0.507868
10469,0.500801
22246,0.541662
7112,0.455464
2759,0.539181
29498,0.502466
5212,0.467613
8130,0.496559
10850,0.527398
25922,0.454667
4607,0.512631
4270,0.542112
2402,0.490431
27879,0.507338
28549,0.505637
18434,0.492772
12787,0.489112
23137,0.50328
85,0.531868
2130,0.558251
24702,0.532417
24505,0.540981
22785,0.479522
11885,0.541337
24785,0.499745
9321,0.502903
16499,0.527147
23628,0.511205
282,0.518526
19210,0.489548
13650,0.47656
19738,0.48772
25262,0.464884
17176,0.50365
2571,0.505907
31215,0.524587
26821,0.523718
20109,0.470596
8962,0.459618
17157,0.484731
22695,0.487318
26799,0.514336
30010,0.526582
16360,0.506263
16021,0.489805
16413,0.517331
18949,0.545007
21361,0.538704
20110,0.492349
7966,0.537442
6877,0.448385
19291,0.448659
31016,0.517669
22405,0.492647
18383,0.449642
190,0.532455
148,0.460338
11573,0.534927
14691,0.541166
7169,0.483109
16804,0.49608
19714,0.496184
14254,0.499837
23408,0.497856
16451,0.506933
9644,0.474729
5289,0.48878
17049,0.515251
24749,0.482693
3228,0.529807
14616,0.492459
31698,0.515975
3754,0.546931
11290,0.492877
16119,0.529269
24834,0.488279
29632,0.520149
31726,0.500417
31399,0.564645
8109,0.53227
31485,0.490807
21485,0.496443
4247,0.52551
14182,0.495514
11063,0.494915
12823,0.493558
2780,0.551483
8545,0.515616
29448,0.497081
9735,0.505006
6170,0.521472
6204,0.528468
21736,0.467334
18371,0.468344
27451,0.469659
18261,0.500528
16690,0.482335
19209,0.510371
334,0.499667
13155,0.495596
17380,0.528246
2804,0.503594
24034,0.500335
29244,0.455726
12948,0.507953
24516,0.530532
1099,0.49601
22841,0.527099
22790,0.477093
29634,0.522334
30831,0.511646
18185,0.491088
16306,0.499755
24640,0.466197
19293,0.474672
1530,0.469015
13081,0.476535
10616,0.51725
1622,0.572059
30668,0.527098
2502,0.529899
5229,0.502607
1253,0.473157
16414,0.508661
28735,0.488246
5942,0.522498
24999,0.512617
20013,0.487843
1269,0.480001
18124,0.489929
22677,0.524898
19574,0.529096
29903,0.519266
8508,0.470379
27086,0.522323
20667,0.510953
18422,0.447149
12895,0.534831
25871,0.510832
4810,0.503145
15992,0.481208
5431,0.520255
5948,0.527784
21636,0.513489
30325,0.516499
23662,0.459549
19906,0.51531
15924,0.511287
18165,0.519861
4201,0.491199
25474,0.504255
6106,0.469271
15608,0.518369
18915,0.505952
20193,0.468711
6307,0.470515
7597,0.486486
11789,0.487709
29362,0.50234
21286,0.510073
26333,0.456781
22957,0.494652
11985,0.488996
28604,0.490979
52,0.522225
3025,0.49677
4038,0.537835
16128,0.45486
6231,0.474254
10207,0.545968
14340,0.533263
13572,0.486924
8640,0.52371
187,0.511318
18488,0.484236
13658,0.479226
20835,0.498779
1877,0.515495
438,0.434654
11657,0.494441
3116,0.493391
14365,0.498628
11435,0.496092
1874,0.530432
13459,0.541457
26209,0.528347
30278,0.566192
2094,0.530725
6746,0.529486
13761,0.469482
29514,0.503927
26544,0.47337
9074,0.512914
23536,0.46269
15103,0.513492
28214,0.51774
3550,0.526895
12655,0.476749
16530,0.503424
18492,0.524465
14871,0.49963
4742,0.515938
4148,0.513839
9011,0.504228
19310,0.49053
26675,0.517555
19747,0.526901
17617,0.500879
4924,0.493597
17968,0.434574
27885,0.463089
31334,0.477937
9596,0.492647
10282,0.51394
20604,0.516893
25709,0.467417
2419,0.53169
14981,0.493467
29665,0.466723
3205,0.529879
19664,0.475635
19542,0.498529
19398,0.521532
25756,0.508328
27844,0.454568
29026,0.506165
20004,0.50332
25741,0.475832
12352,0.52312
9462,0.551092
16315,0.450267
20593,0.451929
15625,0.531332
29942,0.504936
9789,0.529325
28150,0.49864
4932,0.509777
27255,0.518161
23178,0.509428
24449,0.502533
10198,0.468831
