t_id,probability
19778,0.530542
21465,0.530685
25493,0.48763
8272,0.50908
24140,0.529558
633,0.477932
30355,0.555154
13873,0.537886
2835,0.503985
11453,0.52589
9035,0.494528
19391,0.514117
16637,0.480583
1644,0.50808
2404,0.513002
13152,0.546103
18352,0.471639
3503,0.505636
16219,0.472257
5372,0.427613
9849,0.491176
9688,0.540215
10470,0.526705
25916,0.521547
21486,0.484466
8827,0.491873
29318,0.547552
24955,0.504703
15945,0.532988
13362,0.517579
17559,0.4932
22055,0.526005
27144,0.514891
6312,0.499639
9684,0.548013
16769,0.528452
19850,0.50823
7779,0.522823
9906,0.437139
30553,0.537765
29716,0.485921
23374,0.513977
5150,0.44973
16089,0.504716
29349,0.509803
20046,0.531358
3795,0.517199
9378,0.453841
7030,0.453324
19027,0.475623
30371,0.482157
23582,0.518501
830,0.523424
31362,0.516598
28815,0.551922
2661,0.511786
24581,0.465097
30986,0.53636
10684,0.529326
25635,0.482339
10469,0.472962
22246,0.54546
7112,0.466351
2759,0.522792
29498,0.520958
5212,0.512881
8130,0.530027
10850,0.531317
25922,0.51126
4607,0.49122
4270,0.512389
2402,0.480471
27879,0.472749
28549,0.48809
18434,0.534198
12787,0.530058
23137,0.473789
85,0.51095
2130,0.523509
24702,0.504469
24505,0.496194
22785,0.505443
11885,0.487647
24785,0.464948
9321,0.508471
16499,0.516459
23628,0.470208
282,0.513063
19210,0.519985
13650,0.471381
19738,0.473463
25262,0.529647
17176,0.482363
2571,0.521938
31215,0.52698
26821,0.473803
20109,0.515596
8962,0.47145
17157,0.524325
22695,0.51726
26799,0.512016
30010,0.527966
16360,0.474609
16021,0.464361
16413,0.536413
18949,0.500442
21361,0.507503
20110,0.498748
7966,0.544764
6877,0.461226
19291,0.456213
31016,0.494946
22405,0.458588
18383,0.427969
190,0.51478
148,0.498562
11573,0.542379
14691,0.511006
7169,0.496215
16804,0.465265
19714,0.514903
14254,0.475846
23408,0.525975
16451,0.510314
9644,0.469926
5289,0.52176
17049,0.531049
24749,0.494298
3228,0.53817
14616,0.505466
31698,0.492331
3754,0.517809
11290,0.502106
16119,0.527919
24834,0.48973
29632,0.53875
31726,0.517581
31399,0.523628
8109,0.531399
31485,0.482971
21485,0.467607
4247,0.477168
14182,0.513628
11063,0.459706
12823,0.493772
2780,0.542289
8545,0.534711
29448,0.456303
9735,0.550534
6170,0.50092
6204,0.539239
21736,0.499189
18371,0.457709
27451,0.51261
18261,0.464396
16690,0.477167
19209,0.512823
334,0.462729
13155,0.473016
17380,0.539132
2804,0.516227
24034,0.506944
29244,0.457159
12948,0.498741
24516,0.500771
1099,0.521999
22841,0.540344
22790,0.473968
29634,0.550934
30831,0.504331
18185,0.474363
16306,0.472611
24640,0.491007
19293,0.506111
1530,0.509893
13081,0.487841
10616,0.492124
1622,0.51615
30668,0.527172
2502,0.489632
5229,0.499069
1253,0.508207
16414,0.539205
28735,0.496751
5942,0.483857
24999,0.531463
20013,0.503604
1269,0.502734
18124,0.514819
22677,0.517927
19574,0.497881
29903,0.526581
8508,0.445083
27086,0.507826
20667,0.52769
18422,0.466607
12895,0.513982
25871,0.475674
4810,0.510493
15992,0.512932
5431,0.515486
5948,0.488089
21636,0.508004
30325,0.502749
23662,0.497437
19906,0.507226
15924,0.46215
18165,0.504756
4201,0.513626
25474,0.46535
6106,0.455052
15608,0.482982
18915,0.509696
20193,0.494632
6307,0.450756
7597,0.491548
11789,0.481805
29362,0.514189
21286,0.490536
26333,0.447468
22957,0.456739
11985,0.527138
28604,0.493906
52,0.481673
3025,0.477824
4038,0.532741
16128,0.45131
6231,0.456772
10207,0.501159
14340,0.548064
13572,0.487988
8640,0.497044
187,0.496092
18488,0.515095
13658,0.493596
20835,0.502135
1877,0.536102
438,0.459768
11657,0.509134
3116,0.478332
14365,0.472163
11435,0.505238
1874,0.533844
13459,0.525123
26209,0.496285
30278,0.519986
2094,0.511311
6746,0.539484
13761,0.49892
29514,0.475732
26544,0.498502
9074,0.499064
23536,0.473028
15103,0.47381
28214,0.504905
3550,0.497334
12655,0.478039
16530,0.520113
18492,0.50878
14871,0.523918
4742,0.494029
4148,0.482451
9011,0.476785
19310,0.46832
26675,0.482533
19747,0.489707
17617,0.495224
4924,0.528723
17968,0.480903
27885,0.479628
31334,0.483601
9596,0.483589
10282,0.536398
20604,0.514946
25709,0.495865
2419,0.524347
14981,0.492345
29665,0.467814
3205,0.511151
19664,0.48545
19542,0.494348
19398,0.539855
25756,0.540238
27844,0.458447
29026,0.48261
20004,0.482706
25741,0.509229
12352,0.473346
9462,0.51956
16315,0.47286
20593,0.455859
15625,0.48062
29942,0.521018
9789,0.535462
28150,0.527853
4932,0.523794
27255,0.495739
23178,0.495471
24449,0.506843
10198,0.522509
7718,0.507219
11410,0.510204
22025,0.530602
2705,0.470304
20451,0.5356
22421,0.48502
28179,0.489199
9065,0.487187
13415,0.478789
25656,0.506973
18528,0.502223
17211,0.52266
16467,0.506497
19028,0.547601
31481,0.517913
18930,0.474632
15152,0.51588
25140,0.52616
23306,0.497235
24677,0.53625
14933,0.47846
28042,0.492197
6729,0.517196
27560,0.52564
11022,0.504632
27564,0.469366
18486,0.525537
13966,0.479208
10453,0.498985
8362,0.466207
28217,0.51348
16422,0.519576
28756,0.509818
30136,0.530976
30229,0.517694
4962,0.490751
7593,0.528806
18459,0.519049
19705,0.485434
24593,0.474919
16083,0.520548
8202,0.479958
14772,0.471956
24681,0.438804
19282,0.529988
16131,0.514039
8772,0.493269
26742,0.541071
4601,0.514821
23501,0.541533
10847,0.487441
13846,0.487642
29536,0.52548
25068,0.501414
28670,0.430527
22038,0.482516
23913,0.491674
13963,0.524784
20893,0.539016
10458,0.516789
16737,0.480507
7629,0.46821
2154,0.479511
16528,0.446649
7823,0.463452
10650,0.535775
